[2015-02-15 00:43:29.000000 ::1  - Unknown ] Use of undefined constant BASEURL_LOCALE - assumed 'BASEURL_LOCALE'
----------\n[2015-02-15 00:43:29.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\aplication\errors\error_php.php:3)
----------\n[2015-02-15 01:27:30.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:27:30.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-15 01:28:25.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:28:25.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-15 01:28:26.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:28:26.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-15 01:29:07.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:29:07.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-15 01:29:28.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:29:28.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-15 01:29:34.000000 ::1  - The requested page could not be found but may be available again in the future
 ] error_http
----------\n[2015-02-15 01:29:34.000000 ::1  - The requested page could not be found but may be available again in the future
 ] general_error
----------\n[2015-02-18 20:20:09.000000 127.0.0.1  - The component prueba dont implement the action 1() ] general_error
----------\n[2015-02-18 20:20:43.000000 127.0.0.1  - The component prueba dont implement the action 1() ] general_error
----------\n[2015-02-18 20:24:54.000000 127.0.0.1  - The component prueba2 dont implement the action otroAction() ] general_error
----------\n[2015-02-19 23:36:42.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:39:43.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:39:47.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:12.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:18.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:19.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:25.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:42.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:40:44.000000 ::1  - Unknown ] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:1)
----------\n[2015-02-19 23:44:13.000000 ::1  - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'appedunola.usuarios' doesn't exist ] general_error
----------\n[2015-02-19 23:44:59.000000 ::1  - Error Fatal - Parse - Strict ] Call to undefined method PDOStatement::fetch_all()
----------\n[2015-02-19 23:55:53.000000 ::1  - Unknown ] Argument 1 passed to En_DataBase::where() must be an array, string given, called in C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php on line 24 and defined
----------\n[2015-02-19 23:55:53.000000 ::1  - Unknown ] Undefined property: Prueba::$join
----------\n[2015-02-19 23:56:10.000000 ::1  - Unknown ] Undefined property: Prueba::$join
----------\n[2015-02-19 23:58:07.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'OFFSET0' at line 1 ] general_error
----------\n[2015-02-19 23:58:07.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:03:20.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1066 Not unique table/alias: 'usuario' ] general_error
----------\n[2015-02-20 00:03:20.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php:29)
----------\n[2015-02-20 00:03:20.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:03:36.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1066 Not unique table/alias: 'usuario' ] general_error
----------\n[2015-02-20 00:03:36.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:04:26.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1066 Not unique table/alias: 'u' ] general_error
----------\n[2015-02-20 00:04:26.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:04:27.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1066 Not unique table/alias: 'u' ] general_error
----------\n[2015-02-20 00:04:27.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:04:44.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.id=post.autor WHERE habilitado='1' usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:04:44.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:04:44.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:06:22.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.id=post.autor WHERE habilitado='1' usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:06:22.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:06:22.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:06:45.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.id=post.autor WHERE usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:06:45.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:06:45.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:09:02.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:09:02.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php:20)
----------\n[2015-02-20 00:09:02.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:11:49.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:11:49.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php:20)
----------\n[2015-02-20 00:11:49.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:11:50.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:11:50.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php:20)
----------\n[2015-02-20 00:11:50.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchAll() on a non-object
----------\n[2015-02-20 00:12:19.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:12:19.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:12:35.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:12:35.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:12:36.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:12:36.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:13:24.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:13:24.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:166)
----------\n[2015-02-20 00:14:14.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:14:16.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:15:03.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:15:04.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:15:12.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario='anadg' ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:15:12.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php:30)
----------\n[2015-02-20 00:20:33.000000 ::1  - SQLSTATE[23000]: Integrity constraint violation: 1052 Column 'habilitado' in field list is ambiguous ] general_error
----------\n[2015-02-20 00:20:33.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:27:05.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'autor, nombreORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:27:05.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:27:52.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'autor, nombre ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:27:52.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:27:54.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'autor, nombre ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:27:54.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:28:08.000000 ::1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'autor, nombre ORDER BY titulo LIMIT 10' at line 1 ] general_error
----------\n[2015-02-20 00:28:08.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\framework\classes\En_DataBase.php:167)
----------\n[2015-02-20 00:28:08.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:29:40.000000 ::1  - Unknown ] Argument 1 passed to En_DataBase::having() must be an array, string given, called in C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php on line 50 and defined
----------\n[2015-02-20 00:29:40.000000 ::1  - SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens ] general_error
----------\n[2015-02-20 00:29:40.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\errors\error_php.php:3)
----------\n[2015-02-20 00:29:40.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:29:41.000000 ::1  - Unknown ] Argument 1 passed to En_DataBase::having() must be an array, string given, called in C:\xampp\htdocs\enolaphp\aplication\source\controllers\Index.php on line 50 and defined
----------\n[2015-02-20 00:29:41.000000 ::1  - SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens ] general_error
----------\n[2015-02-20 00:29:41.000000 ::1  - Unknown ] Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\enolaphp\aplication\errors\error_php.php:3)
----------\n[2015-02-20 00:29:41.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 00:29:48.000000 ::1  - SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens ] general_error
----------\n[2015-02-20 00:29:48.000000 ::1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 16:28:34.000000 127.0.0.1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario IN (eduardo_n,anadg)GROUP BY autor, nombre HAVING count(nombre) > '0' OR' at line 1 ] general_error
----------\n[2015-02-20 16:28:34.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 16:29:46.000000 127.0.0.1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario IN (eduardo_n,anadg) GROUP BY autor, nombre HAVING count(nombre) > '0' O' at line 1 ] general_error
----------\n[2015-02-20 16:29:46.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Call to a member function fetchObject() on a non-object
----------\n[2015-02-20 16:30:40.000000 127.0.0.1  - SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'usuario IN ('eduardo_n','anadg') GROUP BY autor, nombre HAVING count(nombre) > '' at line 1 ] general_error
